Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
40,CT Thomas,Boise State,MWC,7,20,347,17.4,2,4,4,1,0,24,351,14.6,2,ct-thomas-1
41,Romeo Doubs,Nevada,MWC,9,58,1002,17.3,9,1,-4,-4,0,59,998,16.9,9,romeo-doubs-1
42,Sam Pinckney,Georgia State,Sun Belt,10,47,815,17.3,7,0,0,,0,47,815,17.3,7,sam-pinckney-1
43,Tahj Washington,Memphis,American,11,43,743,17.3,6,4,11,2.8,1,47,754,16,7,tahj-washington-1
44,Jaray Jenkins,LSU,SEC,9,23,397,17.3,2,0,0,,0,23,397,17.3,2,jaray-jenkins-1
45,Isaiah Winstead,Toledo,MAC,6,25,429,17.2,3,0,0,,0,25,429,17.2,3,isaiah-winstead-1
46,Javon McKinley,Notre Dame,ACC,11,42,717,17.1,3,1,15,15,0,43,732,17,3,javon-mckinley-1
47,Kyle Patterson,Air Force,MWC,5,12,205,17.1,2,0,0,,0,12,205,17.1,2,kyle-patterson-1
48,Dax Milne,Brigham Young,Ind,12,70,1188,17,8,11,67,6.1,0,81,1255,15.5,8,dax-milne-1
49,Jalen Tolbert,South Alabama,Sun Belt,11,64,1085,17,8,0,0,,0,64,1085,17,8,jalen-tolbert-1
50,Jahan Dotson,Penn State,Big Ten,9,52,884,17,8,0,0,,0,52,884,17,8,jahan-dotson-1
51,Jacob Cowing,UTEP,CUSA,8,41,691,16.9,3,0,0,,0,41,691,16.9,3,jacob-cowing-1
52,Dahu Green,Arkansas State,Sun Belt,11,32,542,16.9,5,0,0,,0,32,542,16.9,5,dahu-green-1
53,Garrett Wilson,Ohio State,Big Ten,8,43,723,16.8,6,2,67,33.5,0,45,790,17.6,6,garrett-wilson-2
54,Brennan Eagles,Texas,Big 12,9,28,469,16.8,5,0,0,,0,28,469,16.8,5,brennan-eagles-1
55,Tory Horton,Nevada,MWC,6,20,336,16.8,5,0,0,,0,20,336,16.8,5,tory-horton-1
56,Dimitri Stanley,Colorado,Pac-12,6,20,335,16.8,1,1,-1,-1,0,21,334,15.9,1,dimitri-stanley-1
57,Puka Nacua,Washington,Pac-12,3,9,151,16.8,1,0,0,,0,9,151,16.8,1,puka-nacua-1
58,Calvin Austin III,Memphis,American,11,63,1053,16.7,11,2,14,7,0,65,1067,16.4,11,calvin-austin-iii-1
59,John Metchie,Alabama,SEC,13,55,916,16.7,6,0,0,,0,55,916,16.7,6,john-metchie-1
60,James Mitchell,Virginia Tech,ACC,9,26,435,16.7,4,1,1,1,1,27,436,16.1,5,james-mitchell-2
61,Dontario Drummond,Ole Miss,SEC,9,25,417,16.7,7,0,0,,0,25,417,16.7,7,dontario-drummond-1
62,Cornell Powell,Clemson,ACC,12,53,882,16.6,7,0,0,,0,53,882,16.6,7,cornell-powell-1
