Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
502,Rashad Greene,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,8,5,32,6.4,0,4,1,0,,,1,6.2,7.2,3.7,,192,,GreeRa00
503,Je'Ron Hamm,SFO,TE,24,5,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,99,,HammJe01
504,Ryan Hewitt,CIN,TE,25,16,11,0,0,0,0,0,0,0,,0,3,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,100,,HewiRy00
505,Bronson Hill,JAX,RB,23,3,0,0,0,0,0,0,2,11,5.5,0,1,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,147,,HillBr01
506,Henry Krieger-Coble,DEN,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,13,13,0,0,0,0,,,1,2.3,2.3,1.8,,101,,KrieHe00
507,Paul Lasike,CHI,RB,26,10,3,0,0,0,0,0,3,8,2.67,0,1,1,3,3,0,0,0,0,,,1,2.1,2.1,1.6,,148,,LasiPa00
508,Terrence Magee,SEA,RB,23,2,0,0,0,0,0,0,3,12,4,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,145,,MageTe00
509,Chris Manhertz,2TM,TE,24,7,2,0,0,0,0,0,0,0,,0,1,1,10,10,0,0,0,0,,,1,2,2,1.5,,105,,ManhCh00
510,Paul McRoberts,LAR,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,197,,McRoPa00
511,Raheem Mostert,2TM,RB,24,3,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,154,,MostRa00
512,Matthew Mulligan,DET,TE,31,8,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,106,,MullMa00
513,Roosevelt Nix,PIT,RB,24,10,2,0,0,0,0,0,0,0,,0,2,2,5,2.5,0,0,0,0,,,1,2.5,2.5,1.5,,156,,NixxRo01
514,MyCole Pruitt,2TM,TE,24,4,0,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,102,,PruiMy00
515,Daryl Richardson,PIT,RB,26,3,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,152,,RichDa00
516,Stevan Ridley,ATL,RB,27,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,153,,RidlSt00
517,Rashad Ross,WAS,WR,26,5,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,196,,RossRa00
518,Anthony Sherman,KAN,RB,28,16,3,0,0,0,0,0,0,0,,0,6,4,11,2.75,0,0,0,0,,,1,5.1,5.1,3.1,,149,,SherAn00
519,Lorenzo Taliaferro,BAL,RB,25,3,0,0,0,0,0,0,1,0,0,0,3,3,10,3.33,0,0,0,0,,,1,4,4,2.5,,150,,TaliLo00
520,Stepfan Taylor,ARI,RB,25,15,0,0,0,0,0,0,4,12,3,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,146,,TaylSt00
521,Tony Washington,JAX,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,194,,WashTo00
522,Mario Alford,CLE,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,200,,AlfoMa00
523,Joique Bell,2TM,RB,30,7,0,0,0,0,0,0,3,6,2,0,1,1,-2,-2,0,0,0,0,,,,1.4,1.4,0.9,,157,,BellJo01
524,Braedon Bowman,NYJ,,22,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,109,,BowmBr00
525,Daniel Braverman,CHI,,23,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,0,0,,,,,,,,201,,BravDa00
526,Brandon Burks,NYJ,RB,23,1,0,0,0,0,0,0,2,-4,-2,0,0,0,0,,0,0,0,0,,,,-0.4,-0.4,-0.4,,164,,BurkBr00
527,Isaiah Burse,SDG,,25,9,1,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,0,,,,,,,,202,,BursIs01
528,Michael Burton,DET,,24,15,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,1,,BurtMi00
529,Orson Charles,DET,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,110,,CharOr00
530,Kellen Clemens,SDG,QB,33,12,0,0,1,0,0,0,2,-1,-0.5,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,66,,ClemKe00
531,Asante Cleveland,SDG,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,111,,ClevAs00
532,Chase Coffman,IND,,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,112,,CoffCh00
533,Geremy Davis,SDG,,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,203,,DaviGe00
534,Kellen Davis,NYJ,,31,8,7,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,113,,DaviKe01
535,Jim Dray,2TM,,30,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,114,,DrayJi00
536,Thomas Duarte,MIA,,21,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,204,,DuarTh00
537,Donteea Dye,TAM,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,205,,DyexDo00
538,Isaac Fruechte,MIN,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,206,,FrueIs00
539,Aaron Green,LAR,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,161,,GreeAa01
540,Glenn Gronkowski,BUF,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,2,,GronGl01
541,Russell Hansbrough,TAM,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,162,,HansRu00
542,Cory Harkey,LAR,,26,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,116,,HarkCo00
543,Clark Harris,CIN,,32,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,117,,HarrCl20
544,Temarrick Hemingway,LAR,,23,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,118,,HemiTe00
545,Chad Henne,JAX,QB,31,1,0,0,0,0,0,0,1,-2,-2,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,67,,HennCh01
546,Julian Howsare,NYJ,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,3,,HowsJu00
547,Joe Kerridge,GNB,RB,24,8,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,,163,,KerrJo00
548,Jake Lampman,NOR,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,207,,LampJa00
549,Khari Lee,DET,,24,8,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,119,,LeexKh00
550,Dezmin Lewis,BUF,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,208,,LewiDe02
551,Tony Lippett,MIA,,24,16,13,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,,LippTo00
552,Vince Mayle,DAL,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,210,,MaylVi00
553,Tre McBride,TEN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,211,,McBrTr00
554,A.J. McCarron,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,64,,McCaA.00
555,David Morgan,MIN,TE,23,12,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,107,,MorgDa01
556,Marcus Murphy,NOR,RB,25,3,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,159,,MurpMa03
557,Troy Niklas,ARI,TE,24,3,2,0,0,0,0,0,0,0,,0,2,1,0,0,0,0,0,0,,,,1,1,0.5,,120,,NiklTr00
558,James O'Shaughnessy,KAN,TE,24,16,3,0,0,0,0,0,0,0,,0,3,2,-1,-0.5,0,0,0,0,,,,1.9,1.9,0.9,,127,,O'ShJa00
559,Ryan O'Malley,OAK,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,121,,OMalRy00
560,Jordan Payton,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,198,,PaytJo00
561,Demarcus Robinson,KAN,,22,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,212,,RobiDe01
562,Khiry Robinson,NYJ,RB,27,1,0,0,0,0,0,0,8,22,2.75,0,0,0,0,,0,1,1,0,,,,0.2,1.2,0.2,,160,,RobiKh00
563,Mark Sanchez,DAL,QB,30,2,0,10,18,93,0,2,4,-2,-0.5,0,0,0,0,,0,0,0,0,,,,-0.5,1.5,1.5,,68,,SancMa00
564,Matt Schaub,ATL,QB,35,4,0,1,3,16,0,0,2,-2,-1,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,63,,SchaMa00
565,Rashawn Scott,MIA,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,213,,ScotRa01
566,Scott Simonson,CAR,,24,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,122,,SimoSc00
567,Rod Smith,DAL,RB,24,7,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,158,,SmitRo06
568,Tevaun Smith,IND,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,214,,SmitTe03
569,Nate Solder,NWE,,28,15,15,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,123,,SoldNa00
570,Randall Telfer,CLE,TE,24,14,5,0,0,0,0,0,0,0,,0,7,2,4,2,0,0,0,0,,,,2.4,2.4,1.4,,108,,TelfRa00
571,Eric Tomlinson,NYJ,,24,7,5,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,124,,TomlEr01
572,Hakeem Valles,ARI,,24,11,1,0,0,0,0,0,0,0,,0,2,0,0,,0,,0,0,,,,,,,,125,,VallHa00
573,Joe Webb,CAR,WR,30,14,0,0,0,0,0,0,0,0,,0,3,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,199,,WebbJo00
574,Eric Weems,ATL,,31,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,,WeemEr00
575,Kasen Williams,SEA,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,,,216,,WillKa02
576,Maxx Williams,BAL,,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,,,126,,WillMa04
577,T.J. Yates,MIA,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,65,,YateT.00
578,Bralon Addison,CHI,RB,23,2,0,0,0,0,0,0,1,4,4,0,1,1,11,11,0,1,1,0,,,-1,0.5,1.5,,,165,,AddiBr01
579,Sean Mannion,LAR,QB,24,1,0,3,6,19,0,1,1,-1,-1,0,0,0,0,,0,1,0,0,,,-1,-1.3,-0.3,-0.3,,69,,MannSe00
580,Tyler Ervin,HOU,RB,23,12,0,0,0,0,0,0,1,3,3,0,5,3,18,6,0,3,2,0,,,-2,1.1,3.1,-0.4,,166,,ErviTy00
581,Brett Hundley,GNB,QB,23,4,0,2,10,17,0,1,3,-2,-0.67,0,0,0,0,,0,1,0,0,,,-2,-1.5,-0.5,-0.5,,70,,HundBr00
582,Keshawn Martin,SFO,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2,-1,-2,,218,,MartKe01
583,Kalif Raymond,DEN,,22,4,0,0,0,0,0,0,0,0,,0,2,0,0,,0,2,1,0,,,-2,-2,-1,-2,,219,,RaymKa00
584,Matthew Slater,NWE,WR,31,13,0,0,0,0,0,0,1,5,5,0,1,0,0,,0,2,1,0,,,-2,-1.5,-0.5,-1.5,,217,,SlatMa00
