Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
260,Erik Swoope,IND,TE,24,16,4,0,0,0,0,0,0,0,,0,22,15,297,19.8,1,0,0,1,,,36,50.7,53.7,43.2,,42,,SwooEr00
261,Jimmy Garoppolo,NWE,QB,25,6,2,43,63,502,4,0,10,6,0.6,0,1,1,3,3,0,2,1,0,,,35,36,40,35.5,,40,,GaroJi00
262,Cobi Hamilton,PIT,WR,26,11,8,0,0,0,0,0,0,0,,0,28,17,234,13.76,2,0,0,2,,,35,52.4,55.4,43.9,,104,,HamiCo00
263,Darrius Heyward-Bey,PIT,WR,29,10,0,0,0,0,0,0,1,60,60,1,19,6,114,19,2,0,0,3,,,35,41.4,44.4,38.4,,105,,HeywDa00
264,Paul Richardson,SEA,WR,24,15,0,0,0,0,0,0,1,5,5,0,36,21,288,13.71,1,0,0,1,,,35,56.3,59.3,45.8,,106,,RichPa01
265,Andre Roberts,DET,WR,28,16,1,0,0,0,0,0,0,0,,0,25,14,188,13.43,1,2,1,3,,,35,48.8,52.8,41.8,,108,,RobeAn00
266,Deonte Thompson,CHI,WR,27,16,6,0,0,0,0,0,0,0,,0,36,22,249,11.32,2,1,1,2,,,35,56.9,60.9,45.9,,107,,ThomDe04
267,Landry Jones,PIT,QB,27,8,2,53,86,558,4,2,6,-4,-0.67,0,0,0,0,,0,0,0,0,,,34,33.9,38.9,35.9,,41,,JoneLa02
268,Bryan Walters,JAX,WR,29,10,3,0,0,0,0,0,1,4,4,0,34,24,231,9.63,2,1,1,2,,,34,57.5,61.5,45.5,,109,,WaltBr00
269,Geronimo Allison,GNB,WR,22,10,2,0,0,0,0,0,0,0,,0,22,12,202,16.83,2,0,0,2,,,32,44.2,47.2,38.2,,110,,AlliGe01
270,Corey Brown,CAR,WR,25,16,8,0,0,0,0,0,2,6,3,0,53,27,276,10.22,1,1,1,1,,,32,59.2,63.2,45.7,,111,,BrowPh00
271,Corey Grant,JAX,RB,25,11,1,0,0,0,0,0,32,164,5.13,1,7,4,35,8.75,1,0,0,2,,,32,35.9,38.9,33.9,,77,,GranCo00
272,Bryce Petty,NYJ,QB,25,6,4,75,133,809,3,7,5,19,3.8,0,0,0,0,,0,1,1,0,1,,32,32.3,43.3,39.3,,42,,PettBr01
273,Peyton Barber,TAM,RB,22,15,1,0,0,0,0,0,55,223,4.05,1,6,5,28,5.6,0,0,0,1,,,31,36.1,39.1,33.6,,78,,BarbPe01
274,Eric Decker,NYJ,WR,29,3,3,0,0,0,0,0,0,0,,0,21,9,194,21.56,2,0,0,2,,,31,40.4,43.4,35.9,,112,,DeckEr00
275,Rod Streater,SFO,WR,28,16,2,0,0,0,0,0,0,0,,0,27,18,191,10.61,2,0,0,2,,,31,49.1,52.1,40.1,,113,,StreRo00
276,Jordan Taylor,DEN,WR,24,16,0,0,0,0,0,0,0,0,,0,25,16,209,13.06,2,1,1,2,,,31,46.9,50.9,38.9,,114,,TaylJo01
277,Virgil Green,DEN,TE,28,12,11,0,0,0,0,0,0,0,,0,37,22,237,10.77,1,0,0,1,,,30,51.7,54.7,40.7,,43,,GreeVi00
278,Kenjon Barner,PHI,RB,27,13,0,0,0,0,0,0,27,129,4.78,2,11,5,42,8.4,0,0,0,2,,,29,34.1,37.1,31.6,,79,,BarnKe00
279,C.J. Uzomah,CIN,TE,23,10,8,0,0,0,0,0,0,0,,0,38,25,234,9.36,1,0,0,1,,,29,54.4,57.4,41.9,,44,,UzomC.00
280,Cameron Artis-Payne,CAR,RB,26,3,3,0,0,0,0,0,36,144,4,2,1,1,11,11,0,0,0,2,,,28,28.5,31.5,28,,81,,ArtiCa00
281,Jacoby Brissett,NWE,QB,24,3,2,34,55,400,0,0,16,83,5.19,1,0,0,0,,0,3,1,1,,,28,28.3,32.3,28.3,,44,,BrisJa00
282,Nick Foles,KAN,QB,27,3,1,36,55,410,3,0,4,-4,-1,0,0,0,0,,0,0,0,0,,,28,28,31,28,,45,,FoleNi00
283,Paxton Lynch,DEN,QB,22,3,2,49,83,497,2,1,11,25,2.27,0,0,0,0,,0,2,0,0,,,28,28.4,32.4,29.4,,43,,LyncPa00
284,Tanner McEvoy,SEA,WR,23,14,0,1,1,43,0,0,0,0,,0,11,9,140,15.56,2,0,0,2,,,28,36.7,39.7,32.2,,115,,McEvTa01
285,Kerwynn Williams,ARI,RB,25,10,0,0,0,0,0,0,18,157,8.72,2,2,1,6,6,0,0,0,2,,,28,29.3,32.3,28.8,,80,,WillKe05
286,Bennie Fowler,DEN,WR,25,13,0,0,0,0,0,0,0,0,,0,24,11,145,13.18,2,0,0,2,,,27,37.5,40.5,32,,117,,FowlBe00
287,DuJuan Harris,SFO,RB,28,10,1,0,0,0,0,0,38,138,3.63,0,9,8,115,14.38,1,2,2,1,,,27,35.3,43.3,31.3,,82,,HarrDu01
288,Chester Rogers,IND,WR,22,14,2,0,0,0,0,0,0,0,,0,34,19,273,14.37,0,2,0,0,,,27,46.3,49.3,36.8,,116,,RogeCh02
289,Shane Vereen,NYG,RB,27,5,1,0,0,0,0,0,33,158,4.79,1,19,11,94,8.55,0,2,2,1,,,27,38.2,43.2,32.7,,83,,VereSh00
290,Kapri Bibbs,DEN,RB,23,12,0,0,0,0,0,0,29,129,4.45,0,4,2,75,37.5,1,0,0,1,,,26,28.4,31.4,27.4,,84,,BibbKa00
291,Demetrius Harris,KAN,TE,25,16,11,0,0,0,0,0,0,0,,0,31,17,123,7.24,1,1,0,2,1,,26,43.3,46.3,34.8,,45,,HarrDe03
292,Jaron Brown,ARI,WR,26,7,2,0,0,0,0,0,0,0,,0,22,11,187,17,1,0,0,1,,,25,35.7,38.7,30.2,,120,,BrowJa03
293,Alex Collins,SEA,RB,22,11,0,0,0,0,0,0,31,125,4.03,1,11,11,84,7.64,0,2,1,1,,,25,35.9,39.9,30.4,,85,,CollAl00
294,Seth Devalve,CLE,TE,23,12,2,0,0,0,0,0,0,0,,0,12,10,127,12.7,2,0,0,2,,,25,34.7,37.7,29.7,,48,,DevaSe00
295,Josh Huff,2TM,WR,25,10,2,0,1,0,0,0,4,15,3.75,0,23,16,113,7.06,1,0,0,2,,,25,40.8,43.8,32.8,,119,,HuffJo00
296,Jeff Janis,GNB,WR,25,16,1,0,0,0,0,0,2,38,19,1,19,11,93,8.45,1,0,0,2,,,25,36.1,36.1,30.6,,118,,JaniJe00
297,Charone Peake,NYJ,WR,24,15,1,0,0,0,0,0,0,0,,0,35,19,186,9.79,0,0,0,1,,,25,43.6,46.6,34.1,,121,,PeakCh00
298,Mychal Rivera,OAK,TE,26,13,2,0,0,0,0,0,0,0,,0,25,18,192,10.67,1,0,0,1,,,25,43.2,46.2,34.2,,46,,RiveMy00
